date	clade_membership					
2021-04-19	20J (Gamma, V3)					
2021-03-13	20J (Gamma, V3)					
2021-05-26	20J (Gamma, V3)					
2021-05-05	20J (Gamma, V3)					
2021-05-24	20J (Gamma, V3)					
2021-05-03	20J (Gamma, V3)					
2021-04-27	20J (Gamma, V3)					
2021-01-28	20J (Gamma, V3)					
2021-06-21	20J (Gamma, V3)					
2021-06-25	20J (Gamma, V3)					
2021-02-07	20J (Gamma, V3)					
2021-04-07	20J (Gamma, V3)					
2021-04-08	20J (Gamma, V3)					
2021-03-06	20J (Gamma, V3)					
2021-05-19	20J (Gamma, V3)					
2021-06-28	20J (Gamma, V3)					
2021-04-09	20J (Gamma, V3)					
2021-03-11	20J (Gamma, V3)					
2021-04-09	20J (Gamma, V3)					
2020-04-01	20B					
2020-04-16	20D					
2020-03-29	20D					
2020-05-05	20D					
2020-05-06	20D					
2020-04-01	20D					
2020-06-30	20D					
2020-07-04	20D					
2020-04-12	20D					
2021-02-09	20D					
2020-06-02	20D					
2020-07-28	20D					
2021-01-03	20D					
2021-02-22	20D					
2021-05-01	20D					
2021-06-08	20D					
2020-05-04	20D					
2021-08-04	20D					
2021-03-26	21G (Lambda)					
2021-05-02	21G (Lambda)					
2021-02-13	21G (Lambda)					
2021-02-02	21G (Lambda)					
2021-02-16	21G (Lambda)					
2021-01-30	21G (Lambda)					
2021-08-04	21G (Lambda)					
2021-08-04	21G (Lambda)					
2021-08-04	21G (Lambda)					
2021-01-20	21G (Lambda)					
2021-03-08	21G (Lambda)					
2021-03-08	21G (Lambda)					
2021-01-20	21G (Lambda)					
2021-03-13	21G (Lambda)					
2021-03-01	21G (Lambda)					
2021-02-13	21G (Lambda)					
2021-01-30	21G (Lambda)					
2021-02-20	21G (Lambda)					
2021-08-04	21G (Lambda)					
2020-09-15	20D					
2020-08-20	20D					
2020-08-15	20D					
2020-08-21	20D					
2020-05-02	20D					
2020-10-05	20D					
2020-10-15	20D					
2020-07-04	20D					
2020-08-18	20D					
2021-01-18	20D					
2020-06-16	20D					
2020-08-20	20D					
2020-07-20	20D					
2020-07-23	20D					
2020-07-03	20D					
2020-07-01	20D					
2020-09-10	20D					
2020-08-18	20D					
2020-08-22	20D					
2020-09-01	20D					
2020-08-13	20D					
2020-08-13	20D					
2020-03-12	20B					
2020-07-12	20B					
2020-12-17	20B					
2021-05-03	20B					
2021-05-05	20B					
2021-05-07	20B					
2020-03-20	20B					
2020-11-21	20B					
2021-03-07	20B					
2021-01-04	20B					
2021-03-11	20B					
2021-02-26	20B					
2021-02-26	20B					
2021-02-26	20B					
2020-03-16	20B					
2020-07-06	20B					
2020-09-03	20B					
2020-09-07	20B					
2020-04-01	20B					
2020-08-06	20B					
2020-08-26	20B					
2020-09-16	20B					
2020-02-29	20B					
2020-04-23	20B					
2021-02-14	20B					
2020-09-02	20B					
2020-03-22	20B					
2020-08-19	20B					
2020-07-16	20B					
2020-08-28	20B					
2020-03-19	20B					
2020-05-23	20B					
2020-08-03	20B					
2020-11-13	20B					
2020-04-21	20B					
2020-06-29	20B					
2020-07-10	20B					
2020-07-16	20B					
2020-07-06	20B					
2020-06-29	20B					
2020-09-24	20B					
2020-03-10	20B					
2020-10-05	20B					
2020-10-15	20B					
2020-04-27	20B					
2020-04-02	20B					
2020-09-09	20B					
2020-11-05	20B					
2020-10-31	20B					
2020-07-28	20B					
2020-05-01	20B					
2020-10-17	20B					
2020-05-23	20B					
2020-03-17	20B					
2020-03-23	20B					
2020-05-10	20B					
2020-11-05	20B					
2020-11-29	20B					
2021-01-31	20B					
2020-12-22	20B					
2021-03-11	20B					
2020-05-07	20B					
2020-05-14	20B					
2020-03-25	20B					
2020-03-25	20B					
2020-11-01	20B					
2020-07-07	20B					
2020-06-06	20B					
2020-10-02	20B					
2020-03-29	20B					
2020-03-31	20B					
2020-06-08	20B					
2020-06-08	20B					
2020-06-08	20B					
2020-06-29	20B					
2020-09-09	20B					
2021-02-25	20B					
2020-04-29	20B					
2020-06-17	20B					
2020-06-14	20B					
2020-06-29	20B					
2020-06-29	20B					
2020-05-07	20B					
2020-07-21	20B					
2020-10-19	20B					
2020-11-11	20B					
2020-05-31	20B					
2020-07-18	20B					
2020-08-24	20B					
2020-09-22	20B					
2020-10-05	20B					
2020-06-20	20B					
2021-01-31	20B					
2020-06-23	20F					
2020-06-29	20F					
2020-07-19	20F					
2020-08-06	20F					
2020-08-21	20F					
2020-08-15	20F					
2020-09-16	20F					
2020-10-03	20F					
2020-06-30	20F					
2020-07-02	20F					
2020-07-27	20F					
2020-10-11	20F					
2020-09-15	20F					
2020-07-26	20F					
2020-08-03	20F					
2021-02-20	20I (Alpha, V1)					
2021-02-18	20I (Alpha, V1)					
2020-12-18	20I (Alpha, V1)					
2021-02-27	20I (Alpha, V1)					
2021-04-04	20I (Alpha, V1)					
2021-03-14	20I (Alpha, V1)					
2020-12-27	20I (Alpha, V1)					
2021-01-31	20I (Alpha, V1)					
2020-12-31	20I (Alpha, V1)					
2021-02-08	20I (Alpha, V1)					
2021-07-12	20I (Alpha, V1)					
2021-12-15	20I (Alpha, V1)					
2021-02-24	20I (Alpha, V1)					
2021-03-24	20I (Alpha, V1)					
2021-03-25	20I (Alpha, V1)					
2021-01-08	20I (Alpha, V1)					
2021-05-01	20I (Alpha, V1)					
2021-03-16	20I (Alpha, V1)					
2021-05-01	20I (Alpha, V1)					
2021-02-05	20I (Alpha, V1)					
2021-04-06	20I (Alpha, V1)					
2021-03-26	20I (Alpha, V1)					
2021-04-01	20I (Alpha, V1)					
2021-06-15	20I (Alpha, V1)					
2021-04-07	20I (Alpha, V1)					
2021-04-11	20I (Alpha, V1)					
2021-01-20	20I (Alpha, V1)					
2021-04-09	20I (Alpha, V1)					
2021-02-20	20I (Alpha, V1)					
2021-03-15	20I (Alpha, V1)					
2021-04-13	20I (Alpha, V1)					
2021-05-24	20I (Alpha, V1)					
2021-04-09	20I (Alpha, V1)					
2021-04-26	20I (Alpha, V1)					
2021-06-15	20I (Alpha, V1)					
2021-04-04	20I (Alpha, V1)					
2020-12-14	20I (Alpha, V1)					
2021-05-28	20I (Alpha, V1)					
2021-01-01	20I (Alpha, V1)					
2021-02-03	20I (Alpha, V1)					
2021-04-01	20I (Alpha, V1)					
2021-05-28	20I (Alpha, V1)					
2021-06-05	20I (Alpha, V1)					
2021-04-06	20I (Alpha, V1)					
2021-04-15	20I (Alpha, V1)					
2021-05-20	20I (Alpha, V1)					
2021-01-26	20I (Alpha, V1)					
2021-02-03	20I (Alpha, V1)					
2021-02-01	20I (Alpha, V1)					
2021-02-03	20I (Alpha, V1)					
2021-06-05	20I (Alpha, V1)					
2021-06-25	20I (Alpha, V1)					
2021-04-19	20I (Alpha, V1)					
2021-05-03	20I (Alpha, V1)					
2021-03-27	20I (Alpha, V1)					
2021-03-09	20I (Alpha, V1)					
2021-03-25	20I (Alpha, V1)					
2021-05-12	20I (Alpha, V1)					
2021-01-17	20I (Alpha, V1)					
2020-12-29	20I (Alpha, V1)					
2021-03-30	20I (Alpha, V1)					
2021-05-12	20I (Alpha, V1)					
2021-05-24	20I (Alpha, V1)					
2021-03-10	20I (Alpha, V1)					
2021-05-01	20I (Alpha, V1)					
2021-03-04	20I (Alpha, V1)					
2021-03-11	20I (Alpha, V1)					
2021-02-15	20I (Alpha, V1)					
2021-01-06	20I (Alpha, V1)					
2021-03-13	20I (Alpha, V1)					
2021-04-14	20I (Alpha, V1)					
2021-03-17	20I (Alpha, V1)					
2021-06-04	20I (Alpha, V1)					
2021-05-17	20I (Alpha, V1)					
2021-03-30	20I (Alpha, V1)					
2021-05-12	20I (Alpha, V1)					
2021-05-15	20I (Alpha, V1)					
2021-02-11	20I (Alpha, V1)					
2021-02-25	20I (Alpha, V1)					
2021-05-17	20I (Alpha, V1)					
2021-11-26	20I (Alpha, V1)					
2021-09-23	20I (Alpha, V1)					
2021-10-07	20I (Alpha, V1)					
2021-04-19	20I (Alpha, V1)					
2021-03-04	20I (Alpha, V1)					
2021-04-12	20I (Alpha, V1)					
2021-05-31	20I (Alpha, V1)					
2021-05-10	20I (Alpha, V1)					
2021-01-31	20I (Alpha, V1)					
2021-01-06	20I (Alpha, V1)					
2020-12-27	20I (Alpha, V1)					
2021-01-15	20I (Alpha, V1)					
2021-03-29	20I (Alpha, V1)					
2021-02-02	20I (Alpha, V1)					
2021-10-05	20I (Alpha, V1)					
2021-05-20	20I (Alpha, V1)					
2021-05-25	20I (Alpha, V1)					
2021-02-08	20I (Alpha, V1)					
2021-05-08	20I (Alpha, V1)					
2021-03-04	20I (Alpha, V1)					
2021-06-16	20I (Alpha, V1)					
2021-01-02	20I (Alpha, V1)					
2021-06-22	20I (Alpha, V1)					
2021-05-15	20I (Alpha, V1)					
2021-05-01	20I (Alpha, V1)					
2021-05-15	20I (Alpha, V1)					
2021-04-05	20I (Alpha, V1)					
2021-03-02	20I (Alpha, V1)					
2021-02-15	20I (Alpha, V1)					
2021-04-06	20I (Alpha, V1)					
2021-06-01	20I (Alpha, V1)					
2021-05-10	20I (Alpha, V1)					
2021-03-25	20I (Alpha, V1)					
2021-05-12	20I (Alpha, V1)					
2020-08-20	20B					
2020-12-01	20B					
2021-01-22	20B					
2021-04-24	20B					
2021-02-09	20B					
2021-03-13	20B					
2021-03-25	20B					
2021-03-29	20B					
2021-12-06	20B					
2021-12-15	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-16	21M (Omicron)					
2021-12-03	21M (Omicron)					
2021-12-03	21M (Omicron)					
2021-12-04	21M (Omicron)					
2021-11-26	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-08	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-11-27	21M (Omicron)					
2021-11-28	21M (Omicron)					
2021-12-12	21M (Omicron)					
2021-11-26	21M (Omicron)					
2021-11-27	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-12-14	21M (Omicron)					
